total_buildings,buildings_w_height_measurement,percent_buildings_with_height,min_height,quantile_0.05,mean_height,quantile_0.95,quantile_0.99,max_height,city,number_localities
32694,23516,0.7192757080809935,1.1890071630477903,3.1374877095222473,4.334085246366513,5.910672426223755,7.421912455558765,21.13300895690918,"Logan, UT",295
33856,29410,0.8686791115311909,2.5002074241638184,2.857469737529754,4.466130946891237,6.122659945487976,7.66511435508728,28.549043655395508,"Longmont, CO",331
29658,29458,0.9932564569424776,3.9486674359068e-4,1.0135387361049653,3.943001214600767,7.268058919906613,10.973588371276858,22.576923370361328,"Longview, TX",120
94744,93041,0.9820252469813392,4.023605142720044e-4,1.8310558795928955,4.089844974008911,6.563173294067383,8.951098632812508,25.502838134765625,"Lorain--Elyria, OH",502
4705,4324,0.9190223166843784,2.502725124359131,3.0041241526603697,4.5426623511380555,6.229823732376099,7.471315860748277,20.1136417388916,"Los Alamos, NM",266
3012457,2704455,0.8977572128000499,4.885913949692622e-5,2.564655065536499,4.119864721378201,6.206516838073728,8.507069091796872,38.815155029296875,"Los Angeles--Long Beach--Anaheim, CA",9410
6761,6107,0.9032687472267416,2.5012595653533936,2.817675065994263,4.180675739349545,5.620670270919799,6.483906221389766,13.146897315979004,"Los Osos, CA",177
108953,81636,0.7492772112745862,2.500035524368286,2.758688628673554,4.021936246506394,5.682031989097595,7.878315186500539,28.52250099182129,"Lubbock, TX",354
44850,41041,0.915072463768116,2.500011444091797,3.006677627563477,4.876285824248562,7.311950206756592,9.428793144226075,28.241539001464844,"Lynchburg, VA",348
56395,56260,0.9976061707598192,5.310110282152891e-4,2.14021635055542,4.5784443536873685,8.039223384857163,12.100965375900266,30.47806930541992,"Macon-Bibb County, GA",419
120525,116176,0.9639161999585149,1.4727540838066489e-4,2.4709901213645935,4.97688436990511,7.766987681388855,10.337384939193726,35.510074615478516,"Madison, WI",2263
48526,44806,0.9233400651197295,2.500028610229492,2.9801520705223083,4.814851805529829,6.97071897983551,8.925400066375726,23.9912109375,"Manchester, NH",423
48910,48550,0.9926395420159476,1.851851848186925e-4,1.7385383427143095,4.345630763238779,7.831815195083609,12.20400584220888,22.98897933959961,"Mandeville--Covington, LA",351
16867,14465,0.8575917471986719,2.5020365715026855,3.269000005722046,5.085877523313457,7.89789695739746,10.79019313812257,18.975465774536133,"Manhattan, KS",211
4506,3823,0.8484243231247226,3.000404119491577,3.2612826824188232,4.830842559012698,7.011360549926756,9.71404661178588,15.106060981750488,"Manistee, MI",108
