NAME20,total_buildings,buildings_w_height_measurement,mean_height,median_height,sd_height,min_height,max_height
"Escanaba, MI",13486,4176,3.738712717918144,3.5570932626724243,0.8290787227323634,3,16.841135025024414
"Estacada, OR",2670,2658,3.935836320780308,4.086333513259888,1.7436777475625889,2.2406452626455575e-4,23.06528663635254
"Estes Park, CO",6422,5582,4.303199566123905,4.264296531677246,0.9662075355565523,2.500452041625977,12.635689735412598
"Eudora, KS",2379,2204,4.641507496959285,4.6514012813568115,0.9620295403967388,2.504082202911377,10.387874603271484
"Eugene, OR",94540,93851,4.237152261435072,4.115706443786621,1.312591642357053,1.684636081336066e-4,26.97334671020508
"Eunice, LA",5753,5736,3.5058570710916657,3.241436243057251,1.6715385243841616,0.0015117158181965351,16.006668090820313
"Eureka, CA",20946,17321,4.246205564707244,4.055393695831299,0.9751062210047127,2.5013413429260254,18.473865509033203
"Eureka, IL",2412,2003,4.324181711203565,4.02675199508667,1.490787461195853,2.502471446990967,16.26217269897461
"Evanston, WY",4675,3371,4.32228814561867,4.228703498840332,0.8730861539623519,3,14.948033332824709
"Evansville, IN",95744,81098,4.434408132955088,4.252866268157959,1.340478785246126,2.5000739097595215,31.27400016784668
"Evansville, WI",2932,2510,4.389694622598321,4.2749409675598145,1.1024289434441237,2.501347541809082,12.265535354614258
"Excelsior Springs, MO",611,535,4.825939515372303,4.3973565101623535,2.2534054314765775,2.543489694595337,31.370115280151367
"Exeter, CA",4557,3740,3.8272292984998164,3.672126889228821,0.8866471439935449,2.5029525756835938,18.109106063842773
"Exeter, NH",5406,4842,5.165574127856684,5.0773680210113525,1.445391121501186,2.5006988048553467,17.363170623779297
"Fabens, TX",2672,1654,3.7453986240557633,3.6760315895080566,0.7947372708598377,2.503873586654663,8.286288261413574
"Fairbanks, AK",15637,9859,5.380702592499757,4.979518413543701,2.056092034541416,3,29.842687606811523
"Fairbury, NE",2607,2115,5.1593434936893185,4.790769100189209,1.674889044511147,3.001260280609131,17.83964729309082
"Fairfield, CA",13107,11406,5.025300247698902,5.108790397644043,1.030632613209388,2.501326084136963,15.684794425964355
"Fairfield, IA",5009,4401,4.673396422304475,4.517420291900635,1.5088143439488502,2.502727508544922,28.705652236938477
"Fairfield, IL",3387,2751,4.008929097665435,3.755914449691773,1.2194252483645862,2.5004611015319824,18.183366775512695
"Fairmont, WV",15695,12535,4.433817970548248,4.2431640625,1.2961940557195801,2.5001261234283447,26.738983154296875
"Falcon, CO",6678,5134,5.090265732773743,5.2409398555755615,0.800886013729144,2.5010976791381836,14.18989372253418
"Falfurrias, TX",2576,1999,3.8949339624760806,3.8013594150543217,0.8950718702413072,2.5009045600891113,11.562049865722656
"Fallon, NV",9026,8789,3.3667340375941457,3.543452024459839,1.3359551603389723,2.0631318329833448e-4,13.868890762329102
"Falls City, NE",3103,2543,4.2124278441311755,4.026447296142578,1.1466959601060611,2.5022473335266113,18.108989715576172
"Fargo, ND--MN",64011,44439,4.803090658150096,4.703614234924316,1.3702211877537511,2.5001046657562256,36.80074691772461
"Farmington, MO",13559,11264,4.040095993486995,3.8499399423599243,1.0460363801679058,2.5004003047943115,18.275848388671875
"Farmington, NM",23258,13904,3.752360105223019,3.5636175870895386,0.9355291444385921,2.500176191329956,24.225141525268555
"Fayetteville--Springdale--Rogers, AR--MO",31498,29144,4.260600803747203,4.361450672149658,1.8789530105142225,6.799945549573749e-5,17.493656158447266
"Fenton, MI",17360,15939,4.785915440900973,4.625667095184326,1.3772929916970973,2.5002686977386475,18.36661148071289
"Fergus Falls, MN",6536,5843,4.697514754053299,4.532013416290283,1.3532459247906963,2.5001907348632813,15.68712043762207
"Fernley, NV",6980,4917,4.230681082473578,4.0931830406188965,0.8264893671150059,3.001114845275879,12.933281898498535
"Ferriday, LA",2262,1600,4.064843672960997,3.7273350954055786,1.420498554786048,2.5026092529296875,14.75846004486084
"Fillmore, CA",5162,4396,4.0620994311880265,3.824431896209717,1.0227831887020615,2.5002336502075195,10.965018272399902
"Findlay, OH",23185,19258,4.173321077045912,4.004281997680664,1.1487252456838497,2.500307083129883,22.328590393066406
"Firebaugh, CA",2205,1914,4.277682696763998,4.169680118560791,1.0159109322631086,2.5097193717956543,19.574357986450195
"Flint, MI",87611,85394,4.262828127268283,4.121492624282837,1.4977250311419121,0.0010121457744389772,25.219512939453125
"Flora, IL",3127,2412,3.920080719302543,3.6827590465545654,1.1183040108666822,2.5031166076660156,11.447882652282717
"Florence, OR",13740,13712,4.004347255114057,4.004914045333862,1.1669084853614369,2.696508017834276e-4,13.151562690734863
"Floresville, TX",3068,2576,4.376060225578569,4.30916428565979,1.3079672616572953,2.50056791305542,31.35198974609375
"Fond du Lac, WI",25810,25748,4.062190345668873,4.063385009765625,1.3879741917478459,1.399645407218486e-4,23.193532943725582
"Fontana-on-Geneva Lake, WI",705,704,4.067458969304095,4.00294303894043,1.564524636490516,0.011111111380159857,12.400222778320313
"Forrest City, AR",4141,4137,3.791792805267274,3.4201273918151855,1.6686589560469183,0.001746216556057334,15.992990493774414
"Forsyth, MO",3260,2793,5.267297253572851,5.020109176635742,1.6569556167899724,2.502840042114258,15.029914855957031
"Fort Atkinson, WI",6539,6519,4.4522686572922145,4.450223922729492,1.3731438536742486,8.406893466599286e-4,19.88089179992676
"Fort Bragg, CA",7217,4993,3.681428793267881,3.4586727619171143,0.9773376893576469,2.500833034515381,15.742915153503418
"Fort Collins, CO",75787,62400,4.614074163975624,4.596502065658569,1.1987459252210264,2.500112533569336,30.921810150146484
"Fort Dodge, IA",11560,9493,4.98884844807595,4.575303554534912,1.728021402604153,3,27.63861083984375
"Fort Irwin, CA",2357,1896,4.920978671010537,5.022144079208374,1.3531270891006246,2.5051136016845703,18.22974395751953
"Fort Leonard Wood--St. Robert--Waynesville, MO",8541,6653,4.358498713351293,4.200494766235352,1.216087658827168,2.501483678817749,20.486629486083984
"Fort Madison, IA--IL",5761,3424,4.607971325377438,4.215768337249756,1.5889510443491217,3,16.142993927001953
"Fort Morgan, CO",6574,5174,3.7432902801622054,3.4930522441864014,1.3894845413988033,2.50044584274292,32.60718536376953
"Fort Polk South, LA",2601,1952,4.476940881033412,4.311767339706421,1.4241293795371042,2.5031838417053223,23.49378776550293
"Fort Scott, KS",4722,3769,4.190702603836849,3.76531434059143,1.5602435078781665,2.502307653427124,18.0624942779541
"Fort Smith, AR--OK",42657,39620,4.204374920033019,4.0587685108184814,1.4252554836793234,3.1123560620471835e-4,23.190128326416016
"Fort Stockton, TX",4945,3059,3.4351368372095066,3.2930033206939697,0.7399540186042489,2.5001299381256104,9.756908416748049
"Fort Wayne, IN",140323,124377,4.656689440133385,4.564223766326904,1.25804205932252,2.5000240802764893,32.07369613647461
"Fortuna, CA",5786,4501,4.159858049114289,4.05009651184082,0.9332419326972716,2.502102851867676,17.728437423706055
"Fostoria, OH",8007,6172,4.027847589337045,3.8084627389907837,1.3172672268403558,2.5004491806030273,27.316099166870117
"Frankenmuth, MI",2205,2200,4.517182239860783,4.5349366664886475,1.3567848683047008,5.795981269329786e-4,16.3444766998291
"Frankfort, IN",8138,6747,4.115103105483134,3.924518585205078,1.2579327266608358,2.500756025314331,24.572406768798828
"Frankfort, MI",1985,1639,5.247550498573718,4.986959934234619,1.5517314996483167,3.037426233291626,15.959874153137209
"Franklin (Venango County), PA",4340,3208,4.776261568886978,4.218108177185059,1.9212542670053419,3.0022401809692383,18.660552978515625
"Franklin, KY",5992,5027,4.255662233473317,3.982931137084961,1.422614485925393,2.502969264984131,24.306968688964844
"Franklin, LA",5674,5664,3.1832129932327673,3.040808081626892,1.411480530614753,0.011270048096776009,23.390247344970703
"Franklin, NH",2423,2020,4.915353388125354,4.543232679367065,1.7211282502565397,3,21.009241104125977
"Fraser, CO",2383,1990,4.742830576728935,4.63050651550293,1.299235392328191,2.502514600753784,11.70901107788086
"Fredericksburg, TX",7853,5296,3.8861173480929203,3.6009647846221924,1.1645532647416195,2.5005483627319336,16.366546630859375
"Fredericktown, MO",2686,1943,3.650306731232404,3.47912073135376,0.8688258916114575,2.502169132232666,9.710195541381836
"Freeland, MI",2148,1795,4.5584363941362644,4.282041072845459,1.453904487583636,3.004680633544922,27.401636123657227
"Freeland, PA",2605,2105,4.26186102767455,4.22177791595459,1.0570662860809412,2.5009219646453857,12.365009307861328
"Freeland, WA",6691,6630,4.513154608675533,4.566709995269775,1.374016312791715,0.012698412872850897,19.367923736572266
"Freeport, IL",12767,10974,4.389088450613103,4.2194504737854,1.2825958598360911,2.5005111694335938,23.663116455078125
"Fremont, MI",2620,2182,4.543070221143944,4.379720211029053,1.2761674014040258,2.502556800842285,21.901208877563477
"Fremont, NE",13630,11506,4.231444527931718,4.00507926940918,1.3066522918069081,2.5003626346588135,35.726741790771484
"Fremont, OH",12614,10339,4.158821610235732,3.990882635116577,1.1489078745890209,2.5001888275146484,19.80751037597656
"Friday Harbor, WA",2318,2316,4.409758774457509,4.475426197052002,1.3056534129070176,0.1863945573568344,11.750746726989746
"Frisco, CO",1893,1783,5.048914004094268,5.094884395599365,1.083985768884295,2.5014238357543945,11.02771282196045
"Fulton, KY--TN",2159,1159,4.368549929290522,4.113438129425049,1.2119661263097827,2.508998394012451,13.535080909729004
"Fulton, MO",4819,4133,4.2194397939829225,4.03214168548584,1.1571753516733088,2.502359628677368,13.193660736083984
"Gainesville, TX",7970,6700,4.146160384042939,3.7960519790649414,1.376277339876598,2.5014233589172363,21.762027740478516
"Galax, VA",3620,2826,3.999470839159588,3.8204240798950195,1.0142412332828463,2.502121925354004,11.889677047729492
"Galesburg, IL",19157,14050,4.0533300681640245,3.7853996753692627,1.2688564277702616,2.5000429153442383,21.05825424194336
"Galion, OH",5685,4614,4.273537817937139,4.090769529342651,1.226126272783271,0.7175284028053284,20.204545974731445
"Galliano--Larose--Cut Off, LA",7878,7839,2.7346735913013913,2.725907325744629,1.0677747974246836,0.0021459227427840233,12.009562492370604
"Galveston--Texas City, TX",28235,25478,4.736883239587385,4.449045896530151,1.893605247530316,2.500011444091797,34.56828308105469
"Garden City, KS",12374,9328,3.960882667637403,3.764313220977783,1.2321460525726078,2.5001049041748047,35.49656677246094
"Gardnerville, NV",8678,8002,4.6484096519531715,4.555920839309692,0.9155908176511232,3.006014108657837,13.652912139892578
"Gatesville, TX",4900,4136,4.3402257711559935,4.212851285934448,1.1748919701372955,2.507772922515869,24.575965881347656
"Gaylord--Bagley, MI",4292,2733,4.530530438086095,4.345454692840576,1.5843938910632902,0.0894554853439331,15.373652458190918
"Geneseo, IL",4036,3422,4.115497406569927,3.943038821220398,1.0618768037962991,2.5008339881896973,15.377798080444336
"Geneseo, NY",1530,1389,4.765452512482931,4.6268205642700195,1.3175944143240446,2.500605583190918,11.525674819946287
"Geneva, NY",14343,11653,4.296673412068477,4.109826564788818,1.3065669211176778,2.500476837158203,22.974536895751953
"Geneva, OH",3343,2269,4.414349694460066,3.9762237071990967,1.5497480185458405,3.001053810119629,21.5926570892334
"Genoa, IL",2322,2055,4.5152901411636615,4.494117736816406,1.0981806754896306,2.510300874710083,14.030009269714355
"Germantown, OH",347,282,4.345859981597738,4.27665376663208,1.0307160932405928,2.5049755573272705,9.376982688903809
"Gillespie, IL",3660,2651,3.865345446220752,3.637446165084839,1.178313360491886,2.5020077228546143,15.730159759521484
"Gillette, WY",13671,10859,4.5688527538495585,4.524012088775635,1.0315454287398051,2.5008561611175537,22.09711265563965
"Gilmer, TX",2591,2588,3.99686071700726,3.705506682395935,1.8374153641226436,0.08411215245723724,22.327301025390625
"Gilroy--Morgan Hill, CA",33397,28878,4.60233065133934,4.644062042236328,1.281173582776017,2.8272546478547156e-4,27.38993263244629
"Glasgow, KY",7115,5714,3.9897784336405198,3.735982298851013,1.2961529073139197,2.5004098415374756,27.525466918945313
"Glencoe, MN",2649,2635,4.394164870623888,4.3578643798828125,1.567950718115913,0.0029938379302620888,14.26834774017334
"Glendive, MT",3881,1016,3.8232905439973814,3.580770254135132,0.8232087179944159,3,10.81350326538086
"Glens Falls, NY",33557,29788,4.5030649338566375,4.341431617736816,1.3117849084194324,2.500407457351685,32.79584503173828
"Glenwood Springs, CO",3470,3086,4.5821547264104066,4.439902305603027,1.2516532507188138,2.5019078254699707,12.042040824890137
"Glenwood, MN",2830,2478,4.85749246152396,4.655529975891113,1.4055985033000447,2.5034117698669434,16.41135597229004
"Gloversville, NY",11638,8402,4.575024554485992,4.214820861816406,1.574203296496625,2.501007318496704,18.863048553466797
"Gonzales, CA",2061,1853,4.6541492212031,4.529393672943115,1.7235532068059518,2.514206647872925,25.060062408447266
"Gonzales, TX",3746,3058,4.317440944609882,4.1037986278533936,1.4689621403895938,2.500058174133301,27.792701721191406
"Goodland, KS",3304,2671,4.101887554588589,3.9120030403137207,1.3399011006355175,2.500843048095703,24.460668563842773
"Goodyear South, AZ",242,241,3.040307641153019,3.0947394371032715,1.3426480210637843,0.1878349483013153,8.355735778808594
"Grafton, WV",2544,1709,4.421218169928294,4.0994791984558105,1.4317666790189338,2.5375468730926514,16.499488830566406
"Grafton--Port Washington--Cedarburg, WI",4083,4082,4.266899544997565,4.2127366065979,1.3629243636916066,0.020156774669885635,22.73040008544922
"Graham, TX",5350,3873,3.671171942454052,3.4507832527160645,0.9597210511569623,2.5000996589660645,14.787298202514648
"Granbury, TX",13095,10760,4.628251066947958,4.48535680770874,1.0758841774572587,3,16
"Grand Forks, ND--MN",23803,20036,4.437856426636933,4.241886854171753,1.4371661904971365,2.5003528594970703,35.0098876953125
"Grand Island, NE",23902,23590,4.191006525407737,4.169275522232056,1.5362289941768161,1.214034200529568e-4,22.719465255737305
"Grand Junction, CO",61226,48692,4.089103524778722,3.9396181106567383,0.9940512802669036,2.500087261199951,20.28294563293457
