total_buildings,buildings_w_height_measurement,percent_buildings_with_height,min_height,quantile_0.05,mean_height,quantile_0.95,quantile_0.99,max_height,city
3704,3188,0.8606911447084233,2.501519680023194,3.0349963426589968,4.785127894791636,6.506445026397704,10.519392890930181,26.430952072143555,"Smithville, MO_buildings"
2626,2014,0.766945925361767,2.5006027221679688,2.6350547194480898,3.8357717485389973,5.81809034347534,8.190384807586668,13.577777862548828,"Smithville, TN_buildings"
6402,6400,0.999687597625742,1.4001679664943367e-4,2.552581524848938,5.026392277038542,6.742078757286072,7.502575068473825,16.10866928100586,"Snoqualmie, WA_buildings"
2388,1687,0.7064489112227805,2.5096607208251953,2.6806021690368653,3.799871665172204,5.473497343063347,7.120687780380242,12.439735412597656,"Snowflake, AZ_buildings"
843,768,0.9110320284697508,2.509366750717163,3.5486597776412965,5.47979072543482,7.324181604385377,8.84819938659669,12.552403450012209,"Snowmass Village, CO_buildings"
6725,4018,0.5974721189591078,2.500887632369995,2.6470210909843446,3.586050139071634,4.991880297660828,6.30359394073486,23.218090057373047,"Snyder, TX_buildings"
4486,2616,0.5831475702184574,2.500051498413086,2.6473024487495422,3.6945371949526877,5.247652530670166,6.787362194061275,12.733847618103027,"Socorro, NM_buildings"
4245,3313,0.7804475853945818,2.500251054763794,2.865934371948242,4.370942468266094,5.8050110816955565,6.303013935089115,13.362213134765623,"Soledad, CA_buildings"
4830,4110,0.8509316770186336,2.5003671646118164,2.7412141084671022,3.949226690788919,5.6086479187011715,7.017506818771351,18.960466384887695,"Solvang--Santa Ynez, CA_buildings"
16259,11310,0.6956147364536565,2.5105059146881104,3.126315712928772,4.282608356294539,6.038876748085022,7.786985840797423,26.10857391357422,"Somerset, KY_buildings"
4711,3721,0.7898535342814689,2.500047445297241,2.658567428588867,4.1647182471391435,6.186921119689941,7.837671279907227,20.233613967895508,"Somerset, PA_buildings"
3992,3081,0.7717935871743486,2.50018310546875,2.803058385848999,3.7549335339826952,4.9287495613098145,5.912227821350096,29.142105102539063,"Somerton, AZ_buildings"
15084,14153,0.9382789710952002,2.50072717666626,2.897791242599487,4.453967667768121,6.447800540924073,8.546968955993652,18.05514144897461,"Sonoma, CA_buildings"
16386,15103,0.9217014524594166,2.500546932220459,3.0328290700912475,5.003640075854842,7.299652481079101,9.596320037841796,15.890316009521484,"Sonora--Twain Harte, CA_buildings"
4417,4336,0.9816617613764999,3.3670032280497253e-4,0.13185027241706848,2.5132212105733416,5.821679949760437,6.5476045131683325,23.256786346435547,"Sonterra, TX_buildings"
126773,109801,0.8661229126075741,0.0069444444961845875,2.744081735610962,4.493572211490658,7.208045482635498,9.724865913391112,30.335933685302734,"South Bend, IN--MI_buildings"
2237,2056,0.9190880643719267,2.517903089523315,3.165767014026642,5.298624196289114,7.690693974494934,9.679154253005988,14.172223091125488,"South Berwick, ME--NH_buildings"
3753,3151,0.8395949906741274,2.502278089523315,2.7687337398529053,4.4912141294034464,6.983391523361206,9.259198665618896,17.05198097229004,"South Boston, VA_buildings"
