NAME20,INTPTLAT20,INTPTLON20,Area
"River Falls, WI","+44.8595614","-092.6229575",16587182.372999999672174
"Plymouth, WI","+43.7457725","-087.9696397",13950979.674000002443790
"Lockport, NY","+43.1498590","-078.6838524",46049375.026000000536442
"Marshall, MI","+42.2785489","-084.9613776",11964269.489000001922250
"Litchfield, IL","+39.1735091","-089.6584998",12659650.288000000640750
"Cloquet, MN","+46.7040860","-092.4342408",24924132.276000000536442
"Treasure Lake, PA","+41.1618237","-078.7151398",10570040.337999999523163
"Grand Rapids, MN","+47.2245461","-093.5323952",29225914.304000001400709
"Sallisaw, OK","+35.4590805","-094.7890469",14142326.308000000193715
"Hoopeston, IL","+40.4651182","-087.6717261",5851436.089999999850988
"Canandaigua, NY","+42.8719210","-077.2867325",33959400.593000002205372
"Sunderland--South Deerfield, MA","+42.4813953","-072.5897930",17852554.013000000268221
"Osceola, AR","+35.6944387","-089.9704097",11517772.275000000372529
"Memphis, TN--MS--AR","+35.0841431","-089.9152879",1281615574.078999996185303
"Trumann, AR","+35.6742392","-090.5193427",11073673.900000000372529
"Sheboygan, WI","+43.7523690","-087.7591361",92547244.013000011444092
"Athol, MA","+42.5996921","-072.2372537",28677324.100000001490116
"Lake City, MN","+44.4437555","-092.2717725",7291645.598000000230968
"Leominster--Fitchburg, MA","+42.5558269","-071.8247801",142578223.037999987602234
"Auburn, NY","+42.9222792","-076.5585392",34242428.115999996662140
"Sault Ste. Marie, MI","+46.4795297","-084.3499906",21389620.985000003129244
"Marengo, IL","+42.2491568","-088.6054165",9864686.671000001952052
"New Iberia, LA","+29.9902248","-091.8218241",64979880.769000001251698
"Sonterra, TX","+30.8173087","-097.6029782",8057893.697999999858439
"Anna, IL","+37.4618778","-089.2481044",11528735.988000001758337
"Tiffin, OH","+41.1093714","-083.1830039",24195363.342000000178814
"Orange City, IA","+42.9980268","-096.0469934",10967329.986999999731779
"Sioux Center, IA","+43.0746163","-096.1702561",14427721.634999999776483
"Bowling Green, KY","+36.9631352","-086.4408242",135895698.342999994754791
"Robstown, TX","+27.7884648","-097.6691288",9491865.073999999091029
"Pinehurst (Montgomery County)--Magnolia, TX","+30.1925718","-095.7224543",22562856.592000000178814
"The Woodlands--Conroe, TX","+30.2198367","-095.4883684",571707177.881000041961670
"Whitehouse, TX","+32.2216774","-095.2206759",13650273.396999998018146
"Midlothian, TX","+32.4526126","-096.9892675",64555845.417999997735023
"Fairfield, IL","+38.3803909","-088.3699380",8511163.346999999135733
