"city","model","aic","r2","dev_expl","built_estimate","built_std_error","built_p_value","mean_h_estimate","mean_h_std_error","mean_h_p_value","ndvi_estimate","ndvi_std_error","ndvi_p_value","weight","weight_normalized"
"Sonoma, CA","Model7",4401.60163843239,0.612507214153672,0.521922720215093,1.11491577491125,0.501258871319454,0.026414643198867,-0.312316370214267,0.111099086022953,0.00505862861502726,2.30667329748145,0.864659930977475,0.00779307396935085,1,0.300213660420719
"Sonora--Twain Harte, CA","Model1",5316.67677330196,0.595019148135291,0.491781821377545,0.380312009544774,0.293666308248273,0.195664427756661,NA,NA,NA,NA,NA,NA,0.0839080511084069,0.043212504233341
"Sonora--Twain Harte, CA","Model2",5317.47012928763,0.594810645112523,0.492123721129945,0.432539350770048,0.296362674949132,0.144808746052291,0.0944702094530937,0.0649800290520174,0.146371213106187,NA,NA,NA,0.0564324064984966,0.0290625937857062
"Sonora--Twain Harte, CA","Model3",5318.26123780002,0.594220861626134,0.49062112456807,NA,NA,NA,0.0820056100915421,0.0640294907273865,0.20064066925154,NA,NA,NA,0.0379963202914629,0.0195680406082237
"Sonora--Twain Harte, CA","Model4",5315.55227780443,0.595008218388362,0.492760658853605,NA,NA,NA,NA,NA,NA,0.68468366503993,0.448315404889953,0.127084040007343,0.147226073210503,0.0758211783949971
"Sonora--Twain Harte, CA","Model5",5316.99860777735,0.594549333419571,0.492910920221216,NA,NA,NA,0.0668452920478512,0.0655185924485685,0.307908506775617,0.607971429147643,0.454632018755945,0.181497965105988,0.0714361705880169,0.0367895068848651
"Sonora--Twain Harte, CA","Model6",5311.72070588327,0.596255267638909,0.496444128258668,0.656598818363617,0.318022916065755,0.0392696498993214,NA,NA,NA,1.11157614262623,0.483692128062807,0.0218045374295658,1,0.514998306628665
"Sonora--Twain Harte, CA","Model7",5312.93554437233,0.595839442159416,0.496744084995993,0.681717968567278,0.320227895927796,0.0335617700567402,0.0761182023333712,0.0665783992028358,0.25325081419396,1.04444831497667,0.488041470864675,0.0326405736708194,0.544754935799215,0.280547869464202
"South Lake Tahoe, CA--NV","Model1",2218.38676246293,0.337618417464931,0.410740125726692,-2.22420140886164,0.602576179615826,0.000252915191306846,NA,NA,NA,NA,NA,NA,1,0.315403275045204
"South Lake Tahoe, CA--NV","Model2",2219.48545437566,0.336964158777209,0.41168681580501,-2.14652044670847,0.620173107246161,0.000593581052535896,-0.0298545165250937,0.0483249879078111,0.537054709635851,NA,NA,NA,0.577327284160278,0.182090916197105
"South Lake Tahoe, CA--NV","Model3",2223.2591589461,0.335664000913281,0.409663161570179,NA,NA,NA,-0.0669158876724667,0.0502788868405821,0.183956073214609,NA,NA,NA,0.087492846645368,0.0275955303749769
