"city","model","aic","r2","dev_expl","built_estimate","built_std_error","built_p_value","mean_h_estimate","mean_h_std_error","mean_h_p_value","weight_normalized"
"Grafton--Port Washington--Cedarburg, WI","Model7",17902.0573531552,0.371179855135472,0.27596285276384,-0.529853653721774,0.243872391654122,0.0298807001197974,-0.151507211161892,0.0496171352537046,0.00228085955009378,0.326908596653543
"Grand Forks, ND--MN","Model3",26429.2888817001,0.495284960777946,0.459063617066152,NA,NA,NA,-0.109417873009804,0.0393988363720429,0.00550306685581432,0.342780253706744
"Grand Rapids, MI","Model7",66966.5893815778,0.220713307659797,0.18385210510839,-0.749135692131336,0.0471030297831147,2.17165510836312e-56,-0.0476736568303088,0.00655969852130615,3.87970293701594e-13,0.761767406764462
"Grants Pass, OR","Model3",11787.6061759378,0.674769572815321,0.64032933526843,NA,NA,NA,-0.192799873032974,0.0364677080220353,1.37702567701947e-07,0.471098253475691
"Grass Valley, CA","Model4",2287.86154385121,0.153774139760918,0.175830191283747,NA,NA,NA,NA,NA,NA,0.308731111216398
"Green Bay, WI","Model2",19957.3288307777,0.328569258994538,0.281774810961277,38.3754326629677,7.40836336074888,2.34654541270689e-07,0.0537189146003161,0.0104171490313095,2.65459974499253e-07,0.541331819846632
"Green Valley, AZ","Model7",28474.7173330085,0.597084872944373,0.404798469450385,-0.321233045583962,0.14393752537145,0.0256789465632568,0.0923359971939728,0.0237064252822713,9.95925120570181e-05,0.854772862763374
"Greenfield, MA","Model6",3500.88594013522,0.400595443255192,0.384132329771098,-0.799101898812644,0.359905161867758,0.0267826213358764,NA,NA,NA,0.494268250276644
"Half Moon Bay, CA","Model7",16164.2579262362,0.442779725310554,0.35921218149719,1.15001073194015,0.212536828228936,6.8758772976102e-08,-0.0342018941807481,0.03470026640033,0.324407510095461,0.517206916743942
"Harrisonburg, VA","Model7",12544.0071361385,0.382973077160152,0.302226750541126,-0.458933411147275,0.13464438387045,0.000665725933244624,-0.157406361425712,0.0307090836860346,3.23875673629724e-07,0.986454674294359
"Hartford, CT","Model7",112675.526192002,0.320373229505022,0.301741256507304,-0.494398906121388,0.0357483771985464,2.55922933202127e-43,-0.0362696049448659,0.00817990892806902,9.2957109711156e-06,0.999140638858354
"Holland, MI","Model7",23183.1320580388,0.300837688347405,0.281054075353407,-1.15295398965332,0.118271150632406,3.21872144080167e-22,-0.0434680519714344,0.0127347037740876,0.000647757713665302,0.986736275475555
"Hood River, OR--WA","Model7",2218.39375628117,0.233832793743438,0.244232895834205,-1.59076653334159,0.43033831536859,0.000251931533654896,0.0798755148671396,0.0609963504873494,0.191180801572171,0.522166205026116
"Hot Springs Village, AR","Model6",13524.340934118,0.329830539400399,0.280785656074931,2.19395027216971,0.426242707659274,2.85962486961865e-07,NA,NA,NA,0.644647409838112
"Houghton--Hancock, MI","Model7",1866.64139662964,0.163872478104815,0.20871254833642,0.326227352590774,0.386283202679083,0.39891072145128,0.0681388929927065,0.091885540180057,0.458815064937395,0.317524115157256
"Houma, LA","Model3",6643.6522519797,0.3783103219028,0.307569180040451,NA,NA,NA,0.156551628566675,0.0288001371669288,6.62356586384111e-08,0.31963867215443
"Huntington, WV--KY--OH","Model7",5098.62201660683,0.272375110769714,0.236491819389228,-0.285472337429915,0.119326645999257,0.0169351373120165,0.0669670194252421,0.0341842306522399,0.0504065117435808,0.345898637670561
"Idaho Falls, ID","Model2",3036.91438613734,0.235514448797852,0.244274584840385,0.773523140455836,0.558067686922194,0.166240360306043,-0.0983121394847244,0.0666900655993814,0.140962920244295,0.341246042456475
"Incline Village, NV--CA","Model1",1902.91979132122,0.273560875942748,0.257141624760018,-4.31498916677246,2.5229256909562,0.0880416438726304,NA,NA,NA,0.317364011760236
"Iowa City, IA","Model2",13591.4503981936,0.239273511910185,0.20636651164689,-0.40903355135844,0.111404592533823,0.000246182889072142,-0.0358841520766837,0.0215616550550843,0.0961887087702348,0.405936626250919
"Ithaca, NY","Model7",111857.161607999,0.236458827967006,0.191153379366109,-0.891336389354279,0.0644366506243882,2.62121446844832e-43,0.049539108852141,0.0113768604683238,1.34144750234714e-05,0.995999909151859
"Jackson, MI","Model3",1800.18882059105,0.35523516919221,0.418417848388553,NA,NA,NA,0.156273827813135,0.0539920095443258,0.00406109402169096,0.368358313984554
"Jackson, MS","Model7",19308.7219762777,0.377525204941635,0.358873175894846,-0.293012615050514,0.157311292103397,0.0626011022498917,0.0856176777742847,0.0243708573766179,0.000448682571948505,0.422459736181669
"Jackson, WY","Model3",2919.15148314778,0.530567380743963,0.476579974434668,NA,NA,NA,-0.183978021633546,0.17699737328699,0.29906360942027,0.355130782413748
"Jamestown, NY","Model6",13880.0611295725,0.364797517260528,0.321835393957116,-1.60414393208528,0.113750287914892,2.22852490920688e-43,NA,NA,NA,0.661567127943171
"Janesville, WI","Model2",4324.39497681697,0.386920165810762,0.319206520514403,-0.914779543343027,0.221462671229392,4.00898019629969e-05,0.0439840981103731,0.0435232047639232,0.312526624099626,0.28529265322758
"Jefferson City, MO","Model4",5936.69425267608,0.223017916346943,0.244815102651599,NA,NA,NA,NA,NA,NA,0.403265215212928
"Kalamazoo, MI","Model2",22389.9864239548,0.555338986986826,0.401244891047371,-1.47357477729655,0.0786855822114991,6.73551163952215e-75,-0.0330711819697583,0.0112041632211319,0.00317992318927753,0.632201940703525
"Keene, NH","Model7",13307.7672269606,0.392335153643883,0.359126163506266,-1.10558085685642,0.222127023483372,6.8815376658642e-07,-0.197831003091456,0.0468638490039332,2.51328663390392e-05,0.97631671762392
"Kenosha, WI","Model6",5482.29867604646,0.605823105779888,0.485787483208689,0.241174029676715,0.193809052027971,0.213666963373682,NA,NA,NA,0.259947632680556
"Kerrville, TX","Model3",14704.6697989786,0.375624495846158,0.302189051631228,NA,NA,NA,0.0299668285848297,0.0426786272626715,0.482645785953678,0.367981297073425
"Ketchum, ID","Model3",1607.33514880177,0.238687440304938,0.300673127105481,NA,NA,NA,-0.460873093744548,0.155052083113843,0.00317983832363017,0.55630133593195
"Kill Devil Hills--Nags Head, NC","Model7",16792.6434949168,0.167260350973288,0.15864090941951,0.26238509866036,0.112235804857956,0.0194646149621351,0.040046479790535,0.0162230395047589,0.0136250762305748,0.719932911613053
"Kingston, NY","Model1",15673.1336195339,0.512820427122952,0.466508753582998,-1.18779304731292,0.163689613734377,5.14749775856474e-13,NA,NA,NA,0.429012940722514
"La Crosse, WI--MN","Model1",7682.57729582964,0.213023817384608,0.196620892068105,26.6676701772779,11.9258971468522,0.0255134999488022,NA,NA,NA,0.515830604125759
"La Grande, OR","Model2",14206.5806061485,0.508448481932077,0.50075083646915,1.16851760420215,0.468106082383164,0.0126016679213407,0.343766510453371,0.0863425056811789,7.00529451149561e-05,0.586398187585285
"Laconia, NH","Model7",3652.631017124,0.333206535366091,0.301164523496666,-0.0130530072844252,0.276178906865799,0.96231828615038,-0.0331857525305832,0.0374842384062335,0.376309541806149,0.312144456193731
"Lafayette, IN","Model1",47286.6404556553,-9.32421950506257,0.364057472344701,-0.563595136503761,0.100233901029353,1.93743382221186e-08,NA,NA,NA,0.404765829239309
"Lafayette, LA","Model5",34249.9627647445,0.682420279891946,0.580593420508423,NA,NA,NA,-0.182951053995954,0.0182209680213508,1.63277475823554e-23,0.70431919344398
"Lake Charles, LA","Model7",7863.65973653591,0.263377308268441,0.247381587701555,0.560279339167056,0.1686961465193,0.000919805058972934,0.0261036967223925,0.0236319129000648,0.269529019003252,0.326902981594708
"Lansing, MI","Model7",33945.9764740368,0.304517990304814,0.242219917825943,-0.707955840651816,0.0758026904360155,1.34888255187992e-20,-0.0617655817692014,0.011269323753003,4.41080902896852e-08,0.999674716317864
"Las Cruces, NM","Model2",8057.02024223566,0.458644269919864,0.349455607714434,0.481373987283365,0.152374144414782,0.00161684352054579,0.098628337974554,0.0309078886718921,0.00144977598349716,0.597283641759443
"Las Vegas--Henderson--Paradise, NV","Model7",35458.3578522313,0.283999236509152,0.274628666637563,-0.181372866497288,0.0963941971761696,0.0599328053596108,-0.0430846981998433,0.00850793511116838,4.20277909316653e-07,0.55558641010487
"Lawrence, KS","Model4",15035.3602209544,0.337341177623235,0.278156747838969,NA,NA,NA,NA,NA,NA,0.410240906034515
"Lebanon, NH--VT","Model7",29352.5357404246,0.356062059000353,0.3141094965811,-1.62482787343352,0.112338188342138,1.49521619292081e-46,0.0863875945129494,0.0171755082349267,5.07073481605103e-07,0.995830619705529
"Leominster--Fitchburg, MA","Model7",4843.94683864143,0.374555764675784,0.305281136158547,-0.494675836613232,0.236362120290241,0.0366506581129424,-0.110860623607237,0.0503452512346842,0.027927412234206,0.296414774643539
"Lewiston, ID--WA","Model4",2058.60922926869,0.346880316781276,0.297100634911012,NA,NA,NA,NA,NA,NA,0.406145165668475
"Lewiston, ME","Model3",7694.09969111812,0.406228715763096,0.295874649803407,NA,NA,NA,-0.0661519875558728,0.030163790224239,0.0284767199301116,0.383396011318941
"Lima, OH","Model3",1803.57494955571,0.209636754756977,0.238127093966244,NA,NA,NA,0.0499451151364523,0.0400679398157389,0.213568123571333,0.217604936898591
"Lincoln Beach, OR","Model4",1789.20335753633,0.16950884479336,0.213605924055483,NA,NA,NA,NA,NA,NA,0.284914836653963
"Lincoln City, OR","Model6",7948.25785422809,0.362881470370568,0.302433372235978,-1.30286692453126,0.315754329724762,3.93713732637984e-05,NA,NA,NA,0.444890934267615
"Lincoln, NE","Model6",28644.3413586397,0.24961568341996,0.219231653683405,-0.43267979239922,0.120692023776973,0.000340150638493345,NA,NA,NA,0.640563448770955
"Little Rock, AR","Model5",63481.5442629914,0.255563389983978,0.207806274076092,NA,NA,NA,-0.0241245186526404,0.00961429107930479,0.0121140955217134,0.583988172058367
"Longview, TX","Model1",1726.76047849401,0.375780200873039,0.373931464973033,-0.798403762484264,0.317972723351958,0.0126187878787302,NA,NA,NA,0.321787096223895
"Lorain--Elyria, OH","Model6",35815.4699676764,0.295748959250664,0.250697237969125,0.352335858836823,0.0827407180714521,2.09114179611945e-05,NA,NA,NA,0.378853004383093
"Lynchburg, VA","Model7",19595.0707949187,0.395944126018006,0.303185991276618,0.836622597105872,0.120941795335972,5.53954044620419e-12,-0.171058844943684,0.0202958454814104,5.25871016603731e-17,0.999999965877225
"Madison, WI","Model6",125023.267730867,0.212536096876151,0.182636382095659,-1.02764583063675,0.405123955925363,0.0111997882096806,NA,NA,NA,0.65197712272314
"Manchester, NH","Model5",10910.2449021447,0.310980718934423,0.248178546819851,NA,NA,NA,0.0341350280612303,0.0168020973653197,0.0423149897840163,0.523784203267895
"Mandeville--Covington, LA","Model2",21259.0345303872,0.525346574302336,0.425597459807314,-0.525723906648971,0.108679484563199,1.37534067540402e-06,-0.189505363396124,0.0215226324112156,2.06592091874475e-18,0.710037694146478
"Manhattan, KS","Model6",13072.9286584122,0.550489074958443,0.485754587683906,0.311554034102457,0.232000397919958,0.179453767538093,NA,NA,NA,0.294492223573049
"Manistee, MI","Model3",2163.71605819444,0.345409114700422,0.340446251010625,NA,NA,NA,-0.0804158332637194,0.0655426978037146,0.220530549885765,0.225395301247776
"Manitowoc, WI","Model5",7163.31590417767,0.387937419411773,0.376666454330358,NA,NA,NA,0.0896159859980465,0.0365574025701808,0.0143611602360408,0.415405270370951
"Mansfield, OH","Model1",7208.5159584365,0.48899011300481,0.407183147092693,-1.88972145649739,0.407814679642199,4.00317202349088e-06,NA,NA,NA,0.840996777568448
"Marysville, WA","Model4",16920.6638669163,0.329650625535266,0.280123431752769,NA,NA,NA,NA,NA,NA,0.310994126354127
"McCall, ID","Model4",2020.11983423633,0.286289856840638,0.30445150199313,NA,NA,NA,NA,NA,NA,0.2621460522299
"McKinleyville, CA","Model5",8598.48417427107,0.492846855248591,0.419444639614411,NA,NA,NA,-0.5708291097115,0.160323770627729,0.000385096522287127,0.378267287636396
"Meadville, PA","Model4",6978.95256866413,0.2611664705426,0.204657410046625,NA,NA,NA,NA,NA,NA,0.242363414239827
"Medford, OR","Model7",22205.1026122065,0.239658133698392,0.207080101590236,-0.340152883549534,0.0761830568610379,8.22429513309514e-06,-0.127123892081302,0.0248441628141772,3.24888793955982e-07,0.999237616265064
"Memphis, TN--MS--AR","Model7",45755.9834567214,0.282663893205699,0.245911650623802,-0.230087816504787,0.064937193112483,0.000397451718737635,-0.011940258224747,0.00581676977658844,0.0401304964438028,0.582050310739216
"Midland, MI","Model7",6550.8272183067,0.510010295153319,0.454521652645556,-1.14293203550075,0.276790181470236,3.90542974583793e-05,-0.162335452321144,0.0472204569997892,0.000607597758247966,0.713401766011417
"Missoula, MT","Model7",33762.1359379279,0.502288473349207,0.424141895652365,-1.00054369107479,0.0827740259578168,3.05617420915908e-33,-0.030374322992839,0.0127339144785266,0.0170965078048537,0.86034633317316
"Modesto, CA","Model2",14945.3732350045,0.425117365789999,0.415648101779109,-0.725823550775803,0.204666745927206,0.000397337283050042,-0.108096833308024,0.0454430573245841,0.0174426394164044,0.503138434859434
"Monroe, LA","Model4",5273.97816325138,0.407597218530647,0.410006641954608,NA,NA,NA,NA,NA,NA,0.382563053417064
"Morehead City--Emerald Isle--Atlantic Beach, NC","Model5",16318.4652514794,0.349360192036726,0.308624785073437,NA,NA,NA,-0.0831682978527308,0.0138374555726006,2.08054632585924e-09,0.530860383265825
"Moscow, ID","Model7",13933.7248190477,0.468644660084444,0.357813722503115,-2.20942661712822,0.351105272716489,3.61093454912505e-10,-0.28812819889392,0.0544120434082594,1.28094966528191e-07,0.998357022540049
"Mount Pleasant, MI","Model2",4867.15297811701,0.335979192336949,0.310458161667878,-1.73645819355247,0.430165973707425,5.87870818560998e-05,-0.116591135771559,0.073962869706443,0.115295096093427,0.27871666472726
"Mount Vernon, WA","Model4",21419.3221937243,0.238232020551135,0.196307325183717,NA,NA,NA,NA,NA,NA,0.300858749042552
"Muskegon--Norton Shores, MI","Model6",25941.4950136254,0.211834244798371,0.194825550353393,0.147078002700031,0.0931182788021854,0.114297977641349,NA,NA,NA,0.418941083308759
"Nacogdoches, TX","Model4",2097.95053632624,0.528333298001377,0.434476551085271,NA,NA,NA,NA,NA,NA,0.305114496167474
"Nampa, ID","Model6",16583.8729829139,0.442974133719581,0.360475385468921,-0.370078388206398,0.136425126636077,0.00671152958208557,NA,NA,NA,0.613487520039449
"Napa, CA","Model3",2424.31623551172,0.329256535380356,0.327295440419733,NA,NA,NA,-0.0189995807780822,0.0442872679870173,0.668155602294482,0.241978582705874
"Nashua, NH--MA","Model6",22562.8539102195,0.231465686721818,0.196904964227818,-1.12642394792361,0.299012848104748,0.000167443157213163,NA,NA,NA,0.621303939835243
"New Bedford, MA","Model7",18313.6433173328,0.455218816694367,0.428293208849005,-1.09490826615815,0.112050312478085,2.97431880090307e-22,-0.113587521759091,0.0346348782870112,0.00105042584202376,0.705022313386711
"New Castle, IN","Model3",3132.03320627233,0.137156441010923,0.140539004384608,NA,NA,NA,0.450175728703228,0.509750193744544,0.377472144964122,0.205560677132893
