NAME20,INTPTLAT20,INTPTLON20,Area,Building_Data_Present
"Summerville, GA",34.476586,-85.3525107,21779696.93,FALSE
"Corinth, MS",34.9302714,-88.5121124,33190625.97,FALSE
"Ville Platte, LA",30.6912208,-92.2794315,12712191.04,FALSE
"Geneseo, NY",42.7989434,-77.8053412,6243398.901,FALSE
"Atlanta, GA",33.8177503,-84.34518,6441169680,FALSE
"Anniston--Oxford, AL",33.6683259,-85.8339137,205443058.7,FALSE
"Rockland, ME",44.0888007,-69.1213392,34557952.45,FALSE
"Traverse City--Garfield, MI",44.7409262,-85.6114239,143730852.5,FALSE
"Wilmore, KY",37.8644225,-84.6575175,4559342.198,FALSE
"LaFayette, GA",34.7060443,-85.2829352,16489324.03,FALSE
"Madison, IN",38.7741671,-85.38841,28013769.96,FALSE
"Vincennes, IN",38.6762008,-87.5058393,31216281.77,FALSE
"Nebraska City, NE",40.6750778,-95.8622242,10855936.73,FALSE
"Wellsville, NY",42.122308,-77.9455617,9268914.742,FALSE
"Batavia, NY",43.0028806,-78.1760378,21016312.89,FALSE
"Le Roy, NY",42.9759343,-77.9820296,7739227.021,FALSE
"Campbellsville, KY",37.3525542,-85.3464954,22299612.78,FALSE
"Rushville, IN",39.6136985,-85.4473435,7471208.067,FALSE
"Monticello, KY",36.8436231,-84.8488779,16818612.51,FALSE
"Crystal Springs, MS",31.984777,-90.3560837,10270649.96,FALSE
"Senatobia, MS",34.6136063,-89.9707349,10278151.41,FALSE
"Glasgow, KY",37.0025217,-85.9222947,30620163.84,FALSE
"Holly Springs, MS",34.7694163,-89.4446779,13772193.16,FALSE
"New Albany, MS",34.4922856,-89.0217198,21374974.66,FALSE
"Leesville, LA",31.1399109,-93.2687395,17923742.11,FALSE
"Houlton, ME",46.1236325,-67.8408177,6486809.481,FALSE
"Algona, IA",43.0739876,-94.2286733,8694876.218,FALSE
"Georgetown, DE",38.6888332,-75.3836502,12775603.16,FALSE
"Long Neck, DE",38.6358149,-75.1695927,61238719.47,FALSE
"Ocean View, DE",38.549292,-75.0999385,64389624,FALSE
"Waterbury, CT",41.5454294,-73.0420363,243451691.2,FALSE
"Athens-Clarke County, GA",33.9446007,-83.396107,240323385.2,FALSE
"London, OH",39.8984429,-83.4406876,13180061.39,FALSE
"Fort Smith, AR--OK",35.3760077,-94.3622062,192429125.1,FALSE
"Watseka, IL",40.7752295,-87.7307719,7423232.254,FALSE
"Columbiana, OH",40.8899432,-80.7027206,18263632.39,FALSE
"Milledgeville, GA",33.0829861,-83.2375543,51287148.96,FALSE
"Grove, OK",36.5889804,-94.7866998,26391905.49,FALSE
"Cornelia--Baldwin, GA",34.5298317,-83.5361508,50921935.02,FALSE
"Tuskegee, AL",32.4218849,-85.702145,21648289.59,FALSE
"Akron, OH",41.0733416,-81.4953545,793719743.9,FALSE
"Angola, IN",41.6704526,-85.0308737,38082072.15,FALSE
"Mendota, IL",41.5512218,-89.1162513,7455446.94,FALSE
"Streator, IL",41.1249139,-88.8329253,21051799.44,FALSE
"Agat--Apra Harbor, GU",13.3990113,144.6738952,10357122.16,FALSE
"Front Royal, VA",38.9171067,-78.1767605,27786751,FALSE
"Luray, VA",38.6650804,-78.4494958,10667620.22,FALSE
"Poteau, OK",35.0848457,-94.623168,16605320.65,FALSE
"Point Pleasant--Gallipolis, WV--OH",38.8639951,-82.1351783,26863887.94,FALSE
"New Richmond, WI",45.1137625,-92.5356187,12015042.96,FALSE
"Pulaski, VA",37.0800622,-80.722304,40086411.47,FALSE
"Woodstock, VA",38.8721146,-78.5171305,10071361.18,FALSE
"Tazewell, VA",37.1289382,-81.5065547,13480246.9,FALSE
"Weston, WV",39.0416273,-80.4697982,5481981.115,FALSE
"Winchester, IN",40.1703409,-84.9769774,7477655.655,FALSE
"Wadena, MN",46.4394167,-95.1402684,6790217.81,FALSE
"Waynesburg, PA",39.8971588,-80.1613817,10471936.65,FALSE
"Houma, LA",29.6769937,-90.7494971,247382932.5,FALSE
"Decatur, IN",40.8316792,-84.9286887,17021015.21,FALSE
"Holly, MI",42.7969193,-83.6236107,14216182.63,FALSE
"Adrian, MI",41.8992049,-84.0401802,35026165.64,FALSE
"Flint, MI",43.0121719,-83.6805397,536558738.6,FALSE
"Leavenworth, KS",39.2975044,-94.9202436,56222069.16,FALSE
"Baton Rouge, LA",30.4108393,-91.0328624,1037828677,FALSE
"Detroit, MI",42.4865814,-83.2274196,3414886117,FALSE
"Ann Arbor, MI",42.237327,-83.6493908,384889025.1,FALSE
"Port Huron, MI",42.8723984,-82.4839052,137551951.2,FALSE
"Keokuk, IA--IL",40.4062741,-91.3882664,23431491.01,FALSE
"Midland, MI",43.6288468,-84.2325355,99781063.01,FALSE
"Richmond, MI",42.8082772,-82.7549354,7748461.918,FALSE
"Princeton, IN",38.3541243,-87.5745065,11016243.32,FALSE
"Lewisburg, TN",35.450431,-86.7908516,24315228.08,FALSE
"South Hill, VA",36.7243735,-78.1238248,16186608.86,FALSE
"Clintonville, WI",44.6241516,-88.7602018,7162794.61,FALSE
"Waupaca, WI",44.3420861,-89.1248496,26695774.3,FALSE
"Geneseo, IL",41.4503561,-90.1543145,9729502.917,FALSE
"Lebanon, TN",36.2016127,-86.3338934,78465448.96,FALSE
