NAME20,INTPTLAT20,INTPTLON20,Area,,,,,,,,,,,,,,,,,,,,,,
"Indianola, MS",+33.4461928,-090.6485836,13469709.98,,,,,,,,,,,,,,,,,,,,,,
"Starke, FL",+29.9477588,-082.1059668,15212257.39,,,,,,,,,,,,,,,,,,,,,,
"Madisonville, TN",+35.5160731,-084.3610387,18568122.59,,,,,,,,,,,,,,,,,,,,,,
"Starkville, MS",+33.4531620,-088.8164218,50403705.05,,,,,,,,,,,,,,,,,,,,,,
"Macon, MO",+39.7399024,-092.4690922,13195715.41,,,,,,,,,,,,,,,,,,,,,,
"Bogalusa, LA",+30.7806186,-089.8647600,28315983.57,,,,,,,,,,,,,,,,,,,,,,
"Athens, TN",+35.4525018,-084.6095214,40074467.36,,,,,,,,,,,,,,,,,,,,,,
"Jennings, LA",+30.2301665,-092.6538037,19981318.05,,,,,,,,,,,,,,,,,,,,,,
"Conneaut, OH",+41.9389558,-080.5873268,21483491.26,,,,,,,,,,,,,,,,,,,,,,
"Laconia, NH",+43.5422360,-071.4436127,81072888.32,,,,,,,,,,,,,,,,,,,,,,
"Palm Bay--Melbourne, FL",+28.1878781,-080.6739659,779615979.7,,,,,,,,,,,,,,,,,,,,,,
"West Columbia, TX",+29.1468623,-095.6390879,10910788.16,,,,,,,,,,,,,,,,,,,,,,
"Washington, NJ",+40.7606206,-074.9852066,10708501.32,,,,,,,,,,,,,,,,,,,,,,
"Kennett, MO",+36.2402228,-090.0472205,16633264.91,,,,,,,,,,,,,,,,,,,,,,
"Dodgeville, WI",+42.9652060,-090.1307363,8430122.712,,,,,,,,,,,,,,,,,,,,,,
"Aurora, MO",+36.9656449,-093.7204073,13711415.57,,,,,,,,,,,,,,,,,,,,,,
"Waupun, WI",+43.6291066,-088.7362462,11544108.62,,,,,,,,,,,,,,,,,,,,,,
"Hastings, MI",+42.6538971,-085.2963623,13192419.88,,,,,,,,,,,,,,,,,,,,,,
"Boyne City, MI",+45.2060225,-085.0007723,13941046.21,,,,,,,,,,,,,,,,,,,,,,
"Sylacauga, AL",+33.1698007,-086.2820599,50154918.53,,,,,,,,,,,,,,,,,,,,,,
"Talladega, AL",+33.4350856,-086.0962526,26168231.82,,,,,,,,,,,,,,,,,,,,,,
"Escanaba, MI",+45.7330323,-087.0841937,47192566.74,,,,,,,,,,,,,,,,,,,,,,
"Antigo, WI",+45.1426391,-089.1531968,12675645.34,,,,,,,,,,,,,,,,,,,,,,
"Rock Hill, SC",+34.9828473,-080.9717712,382889586.8,,,,,,,,,,,,,,,,,,,,,,
"York, SC",+34.9948157,-081.2333512,17059274.55,,,,,,,,,,,,,,,,,,,,,,
"Crookston, MN",+47.7764084,-096.6066220,12039715.32,,,,,,,,,,,,,,,,,,,,,,
"Rice Lake, WI",+45.4953247,-091.7364561,21527058.69,,,,,,,,,,,,,,,,,,,,,,
"Black River Falls, WI",+44.2968853,-090.8491887,9601127.674,,,,,,,,,,,,,,,,,,,,,,
"Prairie du Chien, WI--IA",+43.0511684,-091.1402778,14738286.45,,,,,,,,,,,,,,,,,,,,,,
"Edenton, NC",+36.0716055,-076.6170433,9466004.351,,,,,,,,,,,,,,,,,,,,,,
"Oswego, NY",+43.4472985,-076.4928170,30835553.16,,,,,,,,,,,,,,,,,,,,,,
"Elizabeth City, NC",+36.2982330,-076.2263969,42766762.79,,,,,,,,,,,,,,,,,,,,,,
